Product Name,Brand,Price,Image URL,is_girly
Native Deodorant - Coconut & Vanilla - Aluminum Free - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_25dc8e7e-9122-4ab6-88fe-ba020553be3a?qlt=85&fmt=webp&hei=500&wid=500,no
Secret Clinical Strength Invisible Solid Clean Antiperspirant & Deodorant for Women Lavender,Secret,$14.59,https://target.scene7.com/is/image/Target/GUEST_96afebaf-a2ad-4fde-9b68-8ce1b12e7d8d?qlt=85&fmt=webp&hei=500&wid=500,yes
Degree Men Cool Rush Antiperspirant & Deodorant Stick,Degree,$7.99,https://target.scene7.com/is/image/Target/GUEST_56826bcf-1025-4eaa-9517-76dcafa5c043?qlt=85&fmt=webp&hei=500&wid=500,no
Suave Powder Anti-Staining 48-Hour Antiperspirant & Deodorant Stick - 2.6oz/2pk,Suave,$4.79,https://target.scene7.com/is/image/Target/GUEST_698dd01f-83ec-4099-ad09-cd7be0421139?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Degree Ultra Clear Pure Clean Antiperspirant & Deodorant - 2.6oz,Degree,$6.39 - $11.89,https://target.scene7.com/is/image/Target/GUEST_1502c1d1-d04a-4ffe-999b-7ed1c2ec750e?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Fresh Clear Gel and Deodorant for Women - Relaxing Refreshing Lavender - 2.6oz,Secret,$7.69 - $13.99,https://target.scene7.com/is/image/Target/GUEST_f53b53f1-8af4-49d7-a219-50f98a47895a?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Aluminum Free Deodorant for Women - Lavender - 2.4oz,Secret,$8.89,https://target.scene7.com/is/image/Target/GUEST_252fe11a-0f38-4c35-ac0a-03b3fc27aa15?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Invisible Solid Antiperspirant and Deodorant - Powder Fresh Twin Pack - 2.6oz/2ct,Secret,$7.89,https://target.scene7.com/is/image/Target/GUEST_9b7e78bc-1331-450d-9a49-16040d8e23d1?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Old Spice Men's Deodorant Aluminum-Free Wilderness with Lavender - 3oz,Old Spice,$8.89,https://target.scene7.com/is/image/Target/GUEST_5733d10e-0693-4382-bce7-bdab5d89b532?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Outlast Invisible Solid Antiperspirant & Deodorant for Women Completely Clean,Secret,$8.89,https://target.scene7.com/is/image/Target/GUEST_3f23f258-8072-4a5c-84c6-5c925cff56e4?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty 0% Aluminum Coconut & Pink Jasmine Women's Deodorant Stick - 2.6oz,Dove Beauty,$6.99,https://target.scene7.com/is/image/Target/GUEST_d5848721-6aba-492e-964d-8a2ada4d0fd1?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Clinical Strength Completely Clean Invisible Solid Antiperspirant & Deodorant,Secret,$11.29 - $14.59,https://target.scene7.com/is/image/Target/GUEST_a2932687-b6af-4dc1-b9e0-272482e9d5ef?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant - Sea Salt & Cedar - Aluminum Free - 2.65 oz,Native,$14.59,https://target.scene7.com/is/image/Target/GUEST_fd02c840-c7a8-41db-8bfd-80318e671c50?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Degree Advanced Motionsense Sexy Intrigue 72-Hour Antiperspirant & Deodorant Stick - 2.6oz,Degree,$6.39,https://target.scene7.com/is/image/Target/GUEST_10debaa5-c944-436a-bb4c-62a0bd86992d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Lady Speed Stick Invisible Dry Antiperspirant Deodorant - Shower Fresh - 2.3oz/2pk,Lady Speed Stick,$4.39,https://target.scene7.com/is/image/Target/GUEST_99f89107-6d5f-4db2-9360-418276c371cc?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Degree Men Ultraclear Black + White 72-Hour Antiperspirant & Deodorant - 2.7oz/2pk,Degree,$11.99,https://target.scene7.com/is/image/Target/GUEST_60e87eaf-fd3f-4020-b3ca-56bee630daf8?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Caring Coconut 72-Hour Antiperspirant & Deodorant Stick - 2.6oz,Dove Beauty,$7.89,https://target.scene7.com/is/image/Target/GUEST_5a98c606-2a95-4f61-8cc3-9ea116d92e10?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Cool Essentials 72-Hour Women's Antiperspirant & Deodorant Dry Spray,Dove Beauty,$8.99,https://target.scene7.com/is/image/Target/GUEST_2bd6b72f-9fae-4b49-af52-88a0dec0a63d?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Secret Clinical Strength Clear Gel Antiperspirant and Deodorant for Women - Completely Clean - 2.6oz,Secret,$14.59,https://target.scene7.com/is/image/Target/GUEST_fcf74d5e-a4d5-444e-b08c-8b0e60fbeb3c?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Men+Care 72-Hour Dry Spray Antiperspirant & Deodorant - Clean Comfort - 3.8oz,Dove Men+Care,$10.19,https://target.scene7.com/is/image/Target/GUEST_d9ca6767-8450-445f-ac9b-eadf36d3fc92?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Native Deodorant - Coconut & Vanilla - Aluminum Free - Trial Size 0.35 oz,Native,$3.79,https://target.scene7.com/is/image/Target/GUEST_9f5d4f79-8ce4-4768-a509-cee6ad2741cd?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Cool Essentials 48-Hour Women's Antiperspirant & Deodorant,Dove Beauty,$14.39,https://target.scene7.com/is/image/Target/GUEST_eb609a2c-4054-4329-a8eb-348bb37691fb?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Dove Beauty Advanced Care Caring Coconut 72-Hour Women's Antiperspirant & Deodorant Dry Spray - 3.8oz,Dove Beauty,$8.99,https://target.scene7.com/is/image/Target/GUEST_b3715d89-660d-483c-bafa-d64296fe86b1?qlt=65&fmt=pjpeg&hei=350&wid=350,no
