Product Name,Brand,Price,Image URL,is_girly
Venus For Pubic Hair and Skin Value Pack - Razor Handle + 4 Blade Refills,Venus,$19.99,https://target.scene7.com/is/image/Target/GUEST_8a2e5c11-e4eb-40ab-81da-1b292e37230b?qlt=65&amp;fmt=webp&amp;hei=350&amp;wid=350,no
"Athena 5-blade Women's Razor Kit - 1 Razor Handle, 2 Razor Blade Refills, Magnetic Hook",Athena Club,$9.99 - $12.19, https://target.scene7.com/is/image/Target/GUEST_f1ac9a32-902e-4fb6-8c06-a2cc41e48e16?qlt=65&amp;fmt=webp&amp;hei=350&amp;wid=350,yes
Women's 5 Blade Disposable Razors - up&up™,up&up,$15.99 - $28.89,https://target.scene7.com/is/image/Target/GUEST_70a1dac6-44be-46b8-a31e-2e2efb30e178?qlt=65&amp;fmt=webp&amp;hei=350&amp;wid=350,yes
Venus Comfortglide White Tea Women's Razor + 2 Razor Blade Refills,Venus,$19.69,https://target.scene7.com/is/image/Target/GUEST_116e4e99-6047-4cff-81fc-b7441ddc35c0?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
BiC Silky Touch Twin Blade Women's Disposable Razors,BiC,$15.89 - $20.69,https://target.scene7.com/is/image/Target/GUEST_c0d5dc90-72e2-4c72-96a1-3ba8e73b8148?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Sensitive Women's Disposable Razors,Venus,$18.89,https://target.scene7.com/is/image/Target/GUEST_9fc4d972-6032-41d2-9745-42c1a9b3d4ca?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette Mach3 Value Pack Razor - Handle + 6 Blade Refills,Gillette,$23.99,https://target.scene7.com/is/image/Target/GUEST_597f179c-04ff-45e2-956f-c077a1508f3b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Rifle Paper Co. + Venus Deluxe Smooth Sensitive Razor + 3 Refills & Shower Hook,Venus,$23.99,https://target.scene7.com/is/image/Target/GUEST_56fe11e6-fc33-422b-8fb4-0f007269a19b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Women's Triple Blade Disposable Razor 4ct - up&up™,up&up,$15.79,https://target.scene7.com/is/image/Target/GUEST_889365c9-e506-4f47-a677-8be529268511?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Extra Smooth Pink Women's Razor + 2 Razor Blade Refills,Venus,$12.99,https://target.scene7.com/is/image/Target/GUEST_b037aae0-f317-4ef8-a058-5f5ecdbefb66?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
